youdescribe_link,audio_clip_file_path,audio_clip_file_name,audio_clip_duration,audio_clip_start_time,audio_clip_end_time,audio_clip_playback_type,db_transcript,oa_transcript_sentence,bleu_score_gr_oc,bleu_score_or_gc,cosine_similarity
https://youdescribe.org/video/7vJ8jBqzVqU?ad=5f6cc60caa38d665301f354c,/current/7vJ8jBqzVqU,7vJ8jBqzVqU_5f6ccf49aa38d665301f354f.wav,14.763,185.446283,185.446283,extended,remove the cover of the for squadron in the first quadrant of good and a knob changing its ass advantages of the status quo question markremove the cover of the for squadron in the first quadrant of good and a knob changing its ass advantages of the status quo question mark," Remove the cover of the first quadrant. In the first quadrant of Good and Not Changing, it says Advantages of the status quo?",0.27899999999999997,0.413,0.7809999999999999
https://youdescribe.org/video/7vJ8jBqzVqU?ad=5f6cc60caa38d665301f354c,/current/7vJ8jBqzVqU,7vJ8jBqzVqU_5f6cd0fd152f97652a3be64c.wav,13.824000000000002,366.511031,366.511031,extended,remove the cover all the third quadrant in the third quadrant of not-so-good and the changing AIDS as the site of changing question markremove the cover all the third quadrant in the third quadrant of not-so-good and the changing AIDS as the site of changing question mark," Remove the cover of the third quadrant. In the third quadrant of Not so good and changing, it says Downside of changing?",0.24600000000000002,0.37799999999999995,0.7909999999999999
https://youdescribe.org/video/7vJ8jBqzVqU?ad=5f6cc60caa38d665301f354c,/current/7vJ8jBqzVqU,7vJ8jBqzVqU_5f6cd222aa38d665301f3552.wav,13.482999999999999,420.93680599999993,420.93680599999993,extended,remove the cover of the for squadron in the for squadron of good and changing it is as advantages of changing question markremove the cover of the for squadron in the for squadron of good and changing it is as advantages of changing question mark," Remove the cover of the fourth quadrant. In the fourth quadrant of Good and Changing, it says Advantages of Changing?",0.271,0.382,0.584
https://youdescribe.org/video/Zn_qirpdBag?ad=60abbdb73b2e2707ed899868,/current/Zn_qirpdBag,Zn_qirpdBag_60abbdf4f1539c07e70d4b2d.wav,4.6930000000000005,31.68151395040893,36.37484728374228,inline,Walt Disney Pictures presentsWalt Disney Pictures presents, Walt Disney Pictures presents,0.38299999999999995,0.491,0.867
https://youdescribe.org/video/BnRQ1-X2C4c?ad=61768433f1539c07e70d930d,/current/BnRQ1-X2C4c,BnRQ1-X2C4c_617693923b2e2707ed89e0b2.wav,8.619,83.881821,83.881821,extended,the screen recording showing the wide variety of interviews that the channel has uploaded by scrolling downloads through the mallthe screen recording showing the wide variety of interviews that the channel has uploaded by scrolling downloads through the mall, A screen recording showing the wide variety of interviews that the channel has uploaded by scrolling downwards through them all.,0.344,0.46399999999999997,0.794
https://youdescribe.org/video/1P3ZgLOy-w8?ad=638d13eb29962a34dc064c10,/current/1P3ZgLOy-w8,1P3ZgLOy-w8_638d1f7029962a34dc064c28.wav,5.12,259.8100649350649,264.9300649350649,inline,trying to bury themselves into the sand the turtle is picked up by the bird's beaktrying to bury themselves into the sand the turtle is picked up by the bird's beak," Trying to bury themselves into the sand, the turtle was picked up by the bird's beak.",0.374,0.48200000000000004,0.89
https://youdescribe.org/video/dKx_JkPZBUs?ad=620c0711f5a44c090b4727a5,/current/dKx_JkPZBUs,dKx_JkPZBUs_620c0e41ddd6a209053b6803.wav,13.745999999999999,1544.5475202202988,1544.5475202202988,extended,the last graph has -8 points 0.87 shaded to the right of it in bluethe last graph has -8 points 0.87 shaded to the right of it in blue, The last graph has negative 8.87 shaded to the right of it in blue.,0.327,0.434,0.847
https://youdescribe.org/video/7opMwmoPTpw?ad=639fe89129962a34dc0653bf,/current/7opMwmoPTpw,7opMwmoPTpw_639fe97029962a34dc0653c7.wav,5.944,211.9019031220703,217.84621151209302,inline,bake at 180 180 degrees Celsius or 10 minutesbake at 180 180 degrees Celsius or 10 minutes, Bake at 180°C for 10 minutes.,0.11199999999999999,0.265,0.527
https://youdescribe.org/video/XLECLu78Mtc?ad=62b8ddb1b3cd2509ff227522,/current/XLECLu78Mtc,XLECLu78Mtc_62b8e0afb3cd2509ff22752d.wav,7.082999999999999,253.50196499999998,253.50196499999998,extended,Doctor Octopus takes out the Arc Reactor and then put secure into the placeDoctor Octopus takes out the Arc Reactor and then put secure into the place, Dr. Octopus takes out the arc reactor and then puts the cure into the place.,0.353,0.46299999999999997,0.715
https://youdescribe.org/video/5vrEkKhZsek?ad=639fd7f329962a34dc0653ae,/current/5vrEkKhZsek,5vrEkKhZsek_639fd83229962a34dc0653b2.wav,8.173,66.47869604005432,74.65212007633549,inline,put the chocolate in a bowl and a 280 milliliters of milkput the chocolate in a bowl and a 280 milliliters of milk, Put the chocolate in a bowl and add 280 milliliters of milk.,0.387,0.488,0.867
